NumProc,SizePerProc,Run,ElapsedTimeSec,Speedup,Efficiency,ScalingEfficiency
1,24,1,21.76,1,1,1
1,24,2,21.79,.998,.998,.998
1,24,3,21.71,1.002,1.002,1.002
8,12,1,2.97,7.326,.915,.915
8,12,2,2.97,7.326,.915,.915
8,12,3,2.97,7.326,.915,.915
27,8,1,0.98,22.204,.822,.822
27,8,2,0.98,22.204,.822,.822
27,8,3,0.98,22.204,.822,.822
1,30,1,50.97,1,1,1
1,30,2,51.21,.995,.995,.995
1,30,3,51.27,.994,.994,.994
8,15,1,7.04,7.240,.905,.905
8,15,2,7.10,7.178,.897,.897
8,15,3,7.04,7.240,.905,.905
27,10,1,2.43,20.975,.776,.776
27,10,2,2.43,20.975,.776,.776
27,10,3,2.42,21.061,.780,.780